,Service Name,Transport Protocol,Description
0,nan,"tcp, udp",Reserved
1,tcpmux,"tcp, udp",TCP Port Service Multiplexer
4,nan,"tcp, udp",Unassigned
5,rje,"tcp, udp",Remote Job Entry
7,echo,"tcp, udp",Echo
9,discard,"sctp, tcp, dccp, udp",Discard
11,systat,"tcp, udp",Active Users
13,daytime,"tcp, udp",Daytime
15,nan,"tcp, udp",Unassigned [was netstat]
17,qotd,"tcp, udp",Quote of the Day
18,msp,"tcp, udp",Message Send Protocol (historic)
19,chargen,"tcp, udp",Character Generator
20,ftp-data,"sctp, tcp, udp","File Transfer [Default Data], FTP"
21,ftp,"sctp, tcp, udp","FTP, File Transfer Protocol [Control]"
22,ssh,"sctp, tcp, udp","SSH, The Secure Shell (SSH) Protocol"
23,telnet,"tcp, udp",Telnet
24,nan,"tcp, udp",any private mail system
25,smtp,"tcp, udp",Simple Mail Transfer
27,nsw-fe,"tcp, udp",NSW User System FE
29,msg-icp,"tcp, udp",MSG ICP
31,msg-auth,"tcp, udp",MSG Authentication
33,dsp,"tcp, udp",Display Support Protocol
35,nan,"tcp, udp",any private printer server
37,time,"tcp, udp",Time
38,rap,"tcp, udp",Route Access Protocol
39,rlp,"tcp, udp",Resource Location Protocol
41,graphics,"tcp, udp",Graphics
42,"nameserver, name","tcp, udp",Host Name Server
43,nicname,"tcp, udp",Who Is
44,mpm-flags,"tcp, udp",MPM FLAGS Protocol
45,mpm,"tcp, udp",Message Processing Module [recv]
46,mpm-snd,"tcp, udp",MPM [default send]
48,auditd,"tcp, udp",Digital Audit Daemon
49,tacacs,"tcp, udp",Login Host Protocol (TACACS)
50,re-mail-ck,"tcp, udp",Remote Mail Checking Protocol
51,nan,,Reserved
52,xns-time,"tcp, udp",XNS Time Protocol
53,domain,"tcp, udp",Domain Name Server
54,xns-ch,"tcp, udp",XNS Clearinghouse
55,isi-gl,"tcp, udp",ISI Graphics Language
56,xns-auth,"tcp, udp",XNS Authentication
57,nan,"tcp, udp",any private terminal access
58,xns-mail,"tcp, udp",XNS Mail
59,nan,"tcp, udp",any private file service
62,acas,"tcp, udp",ACA Services
63,"whoispp, whois++","tcp, udp","whois++
IANA assigned this well-formed service name as a replacement for ""whois++""., whois++"
64,covia,"tcp, udp",Communications Integrator (CI)
65,tacacs-ds,"tcp, udp",TACACS-Database Service
66,"sql-net, sql*net","tcp, udp","Oracle SQL*NET, Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net""."
67,bootps,"tcp, udp",Bootstrap Protocol Server
68,bootpc,"tcp, udp",Bootstrap Protocol Client
69,tftp,"tcp, udp",Trivial File Transfer
70,gopher,"tcp, udp",Gopher
71,netrjs-1,"tcp, udp",Remote Job Service
72,netrjs-2,"tcp, udp",Remote Job Service
73,netrjs-3,"tcp, udp",Remote Job Service
74,netrjs-4,"tcp, udp",Remote Job Service
75,nan,"tcp, udp",any private dial out service
76,deos,"tcp, udp",Distributed External Object Store
77,nan,"tcp, udp",any private RJE service
78,vettcp,"tcp, udp",vettcp
79,finger,"tcp, udp",Finger
80,"www, www-http, http","sctp, tcp, udp","World Wide Web HTTP, HTTP"
81,nan,,Unassigned
82,xfer,"tcp, udp",XFER Utility
83,mit-ml-dev,"tcp, udp",MIT ML Device
84,ctf,"tcp, udp",Common Trace Facility
86,mfcobol,"tcp, udp",Micro Focus Cobol
87,nan,"tcp, udp",any private terminal link
88,kerberos,"tcp, udp",Kerberos
89,su-mit-tg,"tcp, udp",SU/MIT Telnet Gateway
90,dnsix,"tcp, udp",DNSIX Securit Attribute Token Map
91,mit-dov,"tcp, udp",MIT Dover Spooler
92,npp,"tcp, udp",Network Printing Protocol
93,dcp,"tcp, udp",Device Control Protocol
94,objcall,"tcp, udp",Tivoli Object Dispatcher
95,supdup,"tcp, udp",SUPDUP
96,dixie,"tcp, udp",DIXIE Protocol Specification
97,swift-rvf,"tcp, udp",Swift Remote Virtural File Protocol
98,tacnews,"tcp, udp",TAC News
99,metagram,"tcp, udp",Metagram Relay
101,hostname,"tcp, udp",NIC Host Name Server
102,iso-tsap,"tcp, udp",ISO-TSAP Class 0
103,gppitnp,"tcp, udp",Genesis Point-to-Point Trans Net
104,acr-nema,"tcp, udp",ACR-NEMA Digital Imag. & Comm. 300
105,"csnet-ns, cso","tcp, udp","Mailbox Name Nameserver, CCSO name server protocol"
106,3com-tsmux,"tcp, udp",3COM-TSMUX
107,rtelnet,"tcp, udp",Remote Telnet Service
108,snagas,"tcp, udp",SNA Gateway Access Server
109,pop2,"tcp, udp",Post Office Protocol - Version 2
110,pop3,"tcp, udp",Post Office Protocol - Version 3
111,sunrpc,"tcp, udp",SUN Remote Procedure Call
112,mcidas,"tcp, udp",McIDAS Data Transmission Protocol
113,"ident, auth","tcp, udp","nan, Authentication Service"
114,nan,,unassigned
115,sftp,"tcp, udp",Simple File Transfer Protocol
116,ansanotify,"tcp, udp",ANSA REX Notify
117,uucp-path,"tcp, udp",UUCP Path Service
118,sqlserv,"tcp, udp",SQL Services
119,nntp,"tcp, udp",Network News Transfer Protocol
120,cfdptkt,"tcp, udp",CFDPTKT
121,erpc,"tcp, udp",Encore Expedited Remote Pro.Call
122,smakynet,"tcp, udp",SMAKYNET
123,ntp,"tcp, udp",Network Time Protocol
124,ansatrader,"tcp, udp",ANSA REX Trader
125,locus-map,"tcp, udp",Locus PC-Interface Net Map Ser
126,nxedit,"tcp, udp",NXEdit
127,locus-con,"tcp, udp",Locus PC-Interface Conn Server
128,gss-xlicen,"tcp, udp",GSS X License Verification
129,pwdgen,"tcp, udp",Password Generator Protocol
130,cisco-fna,"tcp, udp",cisco FNATIVE
131,cisco-tna,"tcp, udp",cisco TNATIVE
132,cisco-sys,"tcp, udp",cisco SYSMAINT
133,statsrv,"tcp, udp",Statistics Service
134,ingres-net,"tcp, udp",INGRES-NET Service
135,epmap,"tcp, udp",DCE endpoint resolution
136,profile,"tcp, udp",PROFILE Naming System
137,netbios-ns,"tcp, udp",NETBIOS Name Service
138,netbios-dgm,"tcp, udp",NETBIOS Datagram Service
139,netbios-ssn,"tcp, udp",NETBIOS Session Service
140,emfis-data,"tcp, udp",EMFIS Data Service
141,emfis-cntl,"tcp, udp",EMFIS Control Service
142,bl-idm,"tcp, udp",Britton-Lee IDM
143,imap,"tcp, udp",Internet Message Access Protocol
144,uma,"tcp, udp",Universal Management Architecture
145,uaac,"tcp, udp",UAAC Protocol
146,iso-tp0,"tcp, udp",ISO-IP0
147,iso-ip,"tcp, udp",ISO-IP
148,jargon,"tcp, udp",Jargon
149,aed-512,"tcp, udp",AED 512 Emulation Service
150,sql-net,"tcp, udp",SQL-NET
151,hems,"tcp, udp",HEMS
152,bftp,"tcp, udp",Background File Transfer Program
153,sgmp,"tcp, udp",SGMP
154,netsc-prod,"tcp, udp",NETSC
155,netsc-dev,"tcp, udp",NETSC
156,sqlsrv,"tcp, udp",SQL Service
157,knet-cmp,"tcp, udp",KNET/VM Command/Message Protocol
158,pcmail-srv,"tcp, udp",PCMail Server
159,nss-routing,"tcp, udp",NSS-Routing
160,sgmp-traps,"tcp, udp",SGMP-TRAPS
161,snmp,"tcp, udp",SNMP
162,snmptrap,"tcp, udp",SNMPTRAP
163,cmip-man,"tcp, udp",CMIP/TCP Manager
164,cmip-agent,"tcp, udp",CMIP/TCP Agent
165,xns-courier,"tcp, udp",Xerox
166,s-net,"tcp, udp",Sirius Systems
167,namp,"tcp, udp",NAMP
168,rsvd,"tcp, udp",RSVD
169,send,"tcp, udp",SEND
170,print-srv,"tcp, udp",Network PostScript
171,multiplex,"tcp, udp",Network Innovations Multiplex
172,"cl/1, cl-1","tcp, udp","Network Innovations CL/1
IANA assigned this well-formed service name as a replacement for ""cl/1""., Network Innovations CL/1"
173,xyplex-mux,"tcp, udp",Xyplex
174,mailq,"tcp, udp",MAILQ
175,vmnet,"tcp, udp",VMNET
176,genrad-mux,"tcp, udp",GENRAD-MUX
177,xdmcp,"tcp, udp",X Display Manager Control Protocol
178,nextstep,"tcp, udp",NextStep Window Server
179,bgp,"sctp, tcp, udp","Border Gateway Protocol, BGP"
180,ris,"tcp, udp",Intergraph
181,unify,"tcp, udp",Unify
182,audit,"tcp, udp",Unisys Audit SITP
183,ocbinder,"tcp, udp",OCBinder
184,ocserver,"tcp, udp",OCServer
185,remote-kis,"tcp, udp",Remote-KIS
186,kis,"tcp, udp",KIS Protocol
187,aci,"tcp, udp",Application Communication Interface
188,mumps,"tcp, udp",Plus Five's MUMPS
189,qft,"tcp, udp",Queued File Transport
190,gacp,"tcp, udp",Gateway Access Control Protocol
191,prospero,"tcp, udp",Prospero Directory Service
192,osu-nms,"tcp, udp",OSU Network Monitoring System
193,srmp,"tcp, udp",Spider Remote Monitoring Protocol
194,irc,"tcp, udp",Internet Relay Chat Protocol
195,dn6-nlm-aud,"tcp, udp",DNSIX Network Level Module Audit
196,dn6-smm-red,"tcp, udp",DNSIX Session Mgt Module Audit Redir
197,dls,"tcp, udp",Directory Location Service
198,dls-mon,"tcp, udp",Directory Location Service Monitor
199,smux,"tcp, udp",SMUX
200,src,"tcp, udp",IBM System Resource Controller
201,at-rtmp,"tcp, udp",AppleTalk Routing Maintenance
202,at-nbp,"tcp, udp",AppleTalk Name Binding
203,at-3,"tcp, udp",AppleTalk Unused
204,at-echo,"tcp, udp",AppleTalk Echo
205,at-5,"tcp, udp",AppleTalk Unused
206,at-zis,"tcp, udp",AppleTalk Zone Information
207,at-7,"tcp, udp",AppleTalk Unused
208,at-8,"tcp, udp",AppleTalk Unused
209,qmtp,"tcp, udp",The Quick Mail Transfer Protocol
210,"z39-50, z39.50","tcp, udp","ANSI Z39.50
IANA assigned this well-formed service name as a replacement for ""z39.50""., ANSI Z39.50"
